season,rows,missing_columns,total_home_score_null_pct,home_wp_null_pct,vegas_home_wp_null_pct
1999,46136,"",0.0,0.0,0.0
2000,45491,"",0.0,0.0,0.0
2001,44969,"",0.0,0.0,0.0
2002,47355,"",0.0,0.0,0.0
2003,46811,"",0.0,0.0,0.0
2004,46705,"",0.0,0.0,0.0
2005,46823,"",0.0,0.0,0.0
2006,46299,"",0.0,0.0,0.0
2007,46266,"",0.0,0.0,0.0
2008,45917,"",0.0,0.0,0.0
2009,46519,"",0.0,0.0,0.0
2010,46892,"",0.0,0.0,0.0
2011,47448,"",0.0,0.0,0.0
2012,47834,"",0.0,0.0,0.0
2013,48158,"",0.0,0.0,0.0
2014,47629,"",0.0,0.0,0.0
2015,48122,"",0.0,0.0,0.0
2016,47651,"",0.0,0.0,0.0
2017,47245,"",0.0,0.0,0.0
2018,47109,"",0.0,0.0,0.0
2019,47260,"",0.0,0.0,0.0
2020,47705,"",0.0,0.0,0.0
2021,49922,"",0.0,0.0,0.0
2022,49434,"",0.0,0.0,0.0
2023,49665,"",0.0,0.0,0.0
2024,49492,"",0.0,0.0,0.0
2025,48771,"",0.0,0.0,0.0
